gender,age,race,samerace,importance_same_race,importance_same_religion,field,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_intelligence_o,d_funny_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,match,d_ambitous_o
female,24,European/Caucasian-American,0,2,5,law,10,10,10,10,10,10,[9-10],[9-10],[9-10],45,5,25,20,0,5,7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],5,8,9,6,3,4,[0-5],[6-8],[9-10],[6-8],[0-5],[0-5],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.1,4,5,3,6,7,[6-8],[7-10],0,0,0,[9-10]
female,24,European/Caucasian-American,1,2,5,law,9,9,9,9,9,9,[9-10],[9-10],[9-10],45,5,25,20,0,5,7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],7,9,7,6,5,7,[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],-0.21,4,5,3,7,8,[6-8],[7-10],0,1,1,[9-10]
female,24,European/Caucasian-American,0,2,5,law,10,10,10,10,7,8,[9-10],[9-10],[6-8],45,5,25,20,0,5,7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],6,8,7,9,7,8,[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.32,4,5,3,8,6,[6-8],[5-6],1,0,0,[6-8]
female,24,European/Caucasian-American,1,2,5,law,7,8,7,5,7,7,[6-8],[0-5],[6-8],45,5,25,20,0,5,7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],8,7,8,3,6,2,[6-8],[6-8],[6-8],[0-5],[6-8],[0-5],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.73,4,5,3,6,5,[6-8],[5-6],0,0,0,[6-8]
female,24,European/Caucasian-American,1,2,5,law,5,3,4,3,5,3,[0-5],[0-5],[0-5],45,5,25,20,0,5,7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],7,5,9,6,7,9,[6-8],[0-5],[9-10],[6-8],[6-8],[9-10],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.6,4,5,3,8,7,[6-8],[7-10],0,1,0,[0-5]
female,24,European/Caucasian-American,1,2,5,law,7,7,7,7,7,5,[6-8],[6-8],[0-5],45,5,25,20,0,5,7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],5,8,7,5,9,5,[0-5],[6-8],[6-8],[0-5],[9-10],[0-5],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.07,4,5,3,5,6,[0-5],[5-6],0,0,0,[6-8]
female,24,European/Caucasian-American,1,2,5,law,8,6,9,9,8,7,[9-10],[9-10],[6-8],45,5,25,20,0,5,7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],7,6,8,9,4,5,[6-8],[6-8],[6-8],[9-10],[0-5],[0-5],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.11,4,5,3,5,6,[0-5],[5-6],0,1,1,[6-8]
female,24,European/Caucasian-American,1,2,5,law,6,5,7,7,9,7,[6-8],[6-8],[6-8],45,5,25,20,0,5,7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],6,7,8,7,9,8,[6-8],[6-8],[6-8],[6-8],[9-10],[6-8],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.39,4,5,3,8,7,[6-8],[7-10],0,1,0,[9-10]
female,23,European/Caucasian-American,1,1,1,Law,6,7,8,7,7,5,[6-8],[6-8],[0-5],20,20,20,20,10,10,7,8,9,7,8,[6-8],[6-8],[9-10],[6-8],[6-8],4,10,8,5,8,7,[0-5],[9-10],[6-8],[0-5],[6-8],[6-8],1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],-0.18,1,2,2,6,7,[6-8],[7-10],0,0,0,[6-8]
female,23,European/Caucasian-American,1,1,1,Law,6,5,10,6,6,5,[9-10],[6-8],[0-5],20,20,20,20,10,10,7,8,9,7,8,[6-8],[6-8],[9-10],[6-8],[6-8],8,7,8,10,7,8,[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],-0.18,1,2,2,8,1,[6-8],[0-4],1,0,0,[6-8]
female,23,European/Caucasian-American,0,1,1,Law,10,10,10,10,10,10,[9-10],[9-10],[9-10],20,20,20,20,10,10,7,8,9,7,8,[6-8],[6-8],[9-10],[6-8],[6-8],4,7,8,8,6,7,[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],0.05,1,2,2,4,1,[0-5],[0-4],0,0,0,[9-10]
female,23,European/Caucasian-American,1,1,1,Law,7,7,7,9,9,9,[6-8],[9-10],[9-10],20,20,20,20,10,10,7,8,9,7,8,[6-8],[6-8],[9-10],[6-8],[6-8],8,10,7,10,7,10,[6-8],[9-10],[6-8],[9-10],[6-8],[9-10],1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],-0.18,1,2,2,8,10,[6-8],[7-10],1,1,1,[9-10]
female,23,European/Caucasian-American,0,1,1,Law,8,8,9,8,8,9,[9-10],[6-8],[9-10],20,20,20,20,10,10,7,8,9,7,8,[6-8],[6-8],[9-10],[6-8],[6-8],6,9,8,9,8,9,[6-8],[9-10],[6-8],[9-10],[6-8],[9-10],1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],0.21,1,2,2,7,7,[6-8],[7-10],0,0,0,[6-8]
female,23,European/Caucasian-American,1,1,1,Law,6,6,7,7,8,7,[6-8],[6-8],[6-8],20,20,20,20,10,10,7,8,9,7,8,[6-8],[6-8],[9-10],[6-8],[6-8],5,10,8,4,8,2,[0-5],[9-10],[6-8],[0-5],[6-8],[0-5],1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],0.37,1,2,2,4,3,[0-5],[0-4],0,0,0,[6-8]
female,23,European/Caucasian-American,1,1,1,Law,7,6,3,5,6,5,[0-5],[0-5],[0-5],20,20,20,20,10,10,7,8,9,7,8,[6-8],[6-8],[9-10],[6-8],[6-8],7,10,10,7,10,5,[6-8],[9-10],[9-10],[6-8],[9-10],[0-5],1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],0.35,1,2,2,5,1,[0-5],[0-4],0,0,0,[6-8]
female,23,European/Caucasian-American,1,1,1,Law,6,7,8,6,6,5,[6-8],[6-8],[0-5],20,20,20,20,10,10,7,8,9,7,8,[6-8],[6-8],[9-10],[6-8],[6-8],5,9,9,5,9,7,[0-5],[9-10],[9-10],[0-5],[9-10],[6-8],1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],0.15,1,2,2,6,6,[6-8],[5-6],0,0,0,[6-8]
female,23,European/Caucasian-American,1,1,1,Law,7,7,7,10,9,10,[6-8],[9-10],[9-10],20,20,20,20,10,10,7,8,9,7,8,[6-8],[6-8],[9-10],[6-8],[6-8],9,8,10,10,7,8,[9-10],[6-8],[9-10],[9-10],[6-8],[6-8],1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],-0.47,1,2,2,8,8,[6-8],[7-10],0,1,1,[9-10]
female,23,European/Caucasian-American,1,1,1,Law,7,8,8,7,8,7,[6-8],[6-8],[6-8],20,20,20,20,10,10,7,8,9,7,8,[6-8],[6-8],[9-10],[6-8],[6-8],8,9,10,10,8,8,[6-8],[9-10],[9-10],[9-10],[6-8],[6-8],1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,[0-5],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],[6-8],-0.19,1,2,2,10,8,[9-10],[7-10],0,1,0,[6-8]
female,23,'Asian/Pacific Islander/Asian-American',0,1,1,law,7,9,8,9,8,4,[6-8],[9-10],[0-5],10,25,20,25,5,15,5,7,8,9,5,[0-5],[6-8],[6-8],[9-10],[0-5],6,9,7,6,7,6,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],0.33,4,3,4,6,6,[6-8],[5-6],0,1,0,[6-8]
female,23,'Asian/Pacific Islander/Asian-American',0,1,1,law,6,8,10,6,7,6,[9-10],[6-8],[6-8],10,25,20,25,5,15,5,7,8,9,5,[0-5],[6-8],[6-8],[9-10],[0-5],6,9,9,6,8,2,[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],0.37,4,3,4,7,6,[6-8],[5-6],0,1,0,[6-8]
female,23,'Asian/Pacific Islander/Asian-American',1,1,1,law,10,10,10,10,10,10,[9-10],[9-10],[9-10],10,25,20,25,5,15,5,7,8,9,5,[0-5],[6-8],[6-8],[9-10],[0-5],4,7,9,4,3,2,[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],-0.51,4,3,4,6,2,[6-8],[0-4],1,0,0,[9-10]
female,23,'Asian/Pacific Islander/Asian-American',0,1,1,law,6,8,8,7,9,8,[6-8],[6-8],[6-8],10,25,20,25,5,15,5,7,8,9,5,[0-5],[6-8],[6-8],[9-10],[0-5],8,6,7,8,2,8,[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],0.12,4,3,4,9,4,[9-10],[0-4],0,1,1,[9-10]
female,23,'Asian/Pacific Islander/Asian-American',0,1,1,law,9,7,9,7,9,6,[9-10],[6-8],[6-8],10,25,20,25,5,15,5,7,8,9,5,[0-5],[6-8],[6-8],[9-10],[0-5],5,4,8,8,4,2,[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],0.35,4,3,4,4,3,[0-5],[0-4],1,0,0,[9-10]
female,23,'Asian/Pacific Islander/Asian-American',0,1,1,law,6,6,8,8,8,7,[6-8],[6-8],[6-8],10,25,20,25,5,15,5,7,8,9,5,[0-5],[6-8],[6-8],[9-10],[0-5],3,7,6,1,1,1,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],0.19,4,3,4,2,2,[0-5],[0-4],0,0,0,[6-8]
female,23,'Asian/Pacific Islander/Asian-American',0,1,1,law,5,6,8,4,5,4,[6-8],[0-5],[0-5],10,25,20,25,5,15,5,7,8,9,5,[0-5],[6-8],[6-8],[9-10],[0-5],8,8,8,8,3,4,[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],0.47,4,3,4,8,7,[6-8],[7-10],0,1,0,[0-5]
female,23,'Asian/Pacific Islander/Asian-American',0,1,1,law,6,7,8,7,8,5,[6-8],[6-8],[0-5],10,25,20,25,5,15,5,7,8,9,5,[0-5],[6-8],[6-8],[9-10],[0-5],4,8,9,2,8,3,[0-5],[6-8],[9-10],[0-5],[6-8],[0-5],10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],0.03,4,3,4,5,5,[0-5],[5-6],0,0,0,[6-8]
female,23,'Asian/Pacific Islander/Asian-American',0,1,1,law,6,7,7,6,6,6,[6-8],[6-8],[6-8],10,25,20,25,5,15,5,7,8,9,5,[0-5],[6-8],[6-8],[9-10],[0-5],7,6,8,8,6,9,[6-8],[6-8],[6-8],[6-8],[6-8],[9-10],10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],0.46,4,3,4,9,6,[9-10],[5-6],0,1,1,[6-8]
female,23,'Asian/Pacific Islander/Asian-American',0,1,1,law,7,10,10,6,10,7,[9-10],[6-8],[6-8],10,25,20,25,5,15,5,7,8,9,5,[0-5],[6-8],[6-8],[9-10],[0-5],8,9,9,9,10,7,[6-8],[9-10],[9-10],[9-10],[9-10],[6-8],10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,[9-10],[6-8],[9-10],[6-8],[6-8],[6-8],[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],0.43,4,3,4,9,8,[9-10],[7-10],0,1,0,[9-10]
female,22,'Asian/Pacific Islander/Asian-American',0,2,4,Law,7,8,8,8,7,7,[6-8],[6-8],[6-8],15,15,25,20,15,10,6,6,5,7,7,[6-8],[6-8],[0-5],[6-8],[6-8],4,8,8,5,7,4,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],0.19,7,3,2,7,4,[6-8],[0-4],0,0,0,[6-8]
female,22,'Asian/Pacific Islander/Asian-American',0,2,4,Law,7,9,10,6,6,5,[9-10],[6-8],[0-5],15,15,25,20,15,10,6,6,5,7,7,[6-8],[6-8],[0-5],[6-8],[6-8],6,6,8,4,9,4,[6-8],[6-8],[6-8],[0-5],[9-10],[0-5],5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],0.21,7,3,2,7,3,[6-8],[0-4],1,0,0,[6-8]
female,22,'Asian/Pacific Islander/Asian-American',1,2,4,Law,10,10,10,10,10,10,[9-10],[9-10],[9-10],15,15,25,20,15,10,6,6,5,7,7,[6-8],[6-8],[0-5],[6-8],[6-8],3,6,8,7,8,8,[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],0.52,7,3,2,7,8,[6-8],[7-10],1,0,0,[9-10]
female,22,'Asian/Pacific Islander/Asian-American',0,2,4,Law,8,8,9,8,9,9,[9-10],[6-8],[9-10],15,15,25,20,15,10,6,6,5,7,7,[6-8],[6-8],[0-5],[6-8],[6-8],7,8,8,7,7,6,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],-0.46,7,3,2,8,6,[6-8],[5-6],1,1,1,[9-10]
female,22,'Asian/Pacific Islander/Asian-American',0,2,4,Law,8,7,9,6,9,5,[9-10],[6-8],[0-5],15,15,25,20,15,10,6,6,5,7,7,[6-8],[6-8],[0-5],[6-8],[6-8],4,7,7,4,8,5,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,[0-5],[0-5],[0-5],[9-10],[9-10],[9-10],[0-5],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],-0.27,7,3,2,5,6,[0-5],[5-6],1,0,0,[9-10]
